Key,Korean,English
btn_reroll,재진열,Restock
btn_buy,구입,Buy
btn_exit,나가기,Exit
,,
,,
black_market_mammon_greeting,카캇! 오늘 상품도 전부 특상품이라구요!,Kaka! Every item today is top quality!
black_market_baito_greeting,편하게 둘러보세요!,Feel free to take a look around!
black_market_mammon_purchase_success,훌륭한 선택이에요! 고객님 보는 눈이 좋으시네요!,Excellent choice! You have a good eye dear customer!
black_market_baito_purchase_success,구입 감사합니다!,Thank you for your purchase!
black_market_mammon_purchase_no_gold,아쉽지만 골드가 부족하네요! 자선사업은 안 합니다!,Too bad but you do not have enough gold! I do not run a charity!
black_market_baito_purchase_no_gold,골드가 조금 부족한 것 같아요!,It looks like you are a little short on gold!
black_market_mammon_reroll_success,V.I.P. 고객님께는 더 많은 선택지를 드려야죠!,A V.I.P. customer deserves more options!
black_market_baito_reroll_success,재진열 완료입니다! 이번엔 마음에 드는 게 있을지도 몰라요!,Restock complete! Maybe you will find something you like this time!
black_market_mammon_reroll_no_gold,더 많은 물건이 보고 싶다면 지갑도 더 열어주셔야죠!,If you want to see more goods then you will need to open your wallet wider!
black_market_baito_reroll_no_gold,수수료가 조금 부족한 것 같아요!,It looks like you are a little short on the fee!
black_market_purchase_item_format,{0}을 구매했다,Purchased {0}
black_market_no_items_available,판매 가능한 상품이 없습니다.,No items available for sale.
black_market_reroll_cost_format,재진열 비용: {0:N0},Restock fee: {0:N0}
,,
,,
,,
common_yes,예,Yes
common_no,아니요,No
