Key,Korean,English
enemy_skill_extra_life_name,잔기,Time Left
enemy_skill_extra_life_desc,체력이 낮을수록 피해 증폭을 얻습니다. 체력이 최초로 50% 이하로 떨어지면 최대 체력의 50%를 회복하고 운이 0으로 감소합니다. 대신 힘과 방어가 증가하고 체력이 낮을수록 피해 흡혈을 얻습니다,Gains damage amplification as HP decreases. When HP falls to 50% or lower for the first time recover 50% of Max HP and Luck decreases to 0. Instead Strength and Defense increase and gains damage lifesteal as HP decreases.
enemy_skill_violence_name,바이올런스,Violence
enemy_skill_violence_desc,다단 히트 피해를 입힙니다,Deals multi hit damage.
enemy_skill_deep_down_name,Deep down,Deep down
enemy_skill_deep_down_desc,적중 시 속도 감소 디버프를 부여합니다,Inflicts a Speed decrease debuff on hit.
enemy_skill_cerebral_rendezvous_name,대뇌적인 랑데부,Cerebral Rendezvous
enemy_skill_cerebral_rendezvous_desc,다단 히트 피해를 입히며 적중한 타격마다 속도 감소 디버프를 부여합니다,Deals multi hit damage and inflicts a Speed decrease debuff for each successful hit.
enemy_skill_200_million_centimeter_blade_name,칼날 길이 2억 센티,200 Million Centimeter Blade
enemy_skill_200_million_centimeter_blade_desc,다단 히트 피해를 입히며 적중한 타격마다 대뇌적인 랑데부의 디버프를 제거하고 추가 피해를 입힙니다,Deals multi hit damage. Each successful hit removes a Cerebral Rendezvous debuff and deals additional damage.
enemy_skill_in_the_backrooms_name,인 더 백룸,In the Backroom
enemy_skill_in_the_backrooms_desc,적중 시 행동 게이지를 차감합니다,Reduces the action gauge on hit.
enemy_skill_inside_identity_name,Inside Identity,Inside Identity
enemy_skill_inside_identity_desc,체력이 낮을수록 피해 증폭을 얻습니다,Gains damage amplification as HP decreases.
enemy_skill_voice_name,Voice,Voice
enemy_skill_voice_desc,피해를 입힙니다,Deals damage.
enemy_skill_sparkling_daydream_name,Sparkling Daydream,Sparkling Daydream
enemy_skill_sparkling_daydream_desc,적중 시 속도 감소 디버프를 부여합니다,Inflicts a Speed decrease debuff on hit.
enemy_skill_before_my_body_is_dry_name,Before my body is dry,Before my body is dry
enemy_skill_before_my_body_is_dry_desc,스킬 적중마다 브레이크 저항 감소 디버프를 부여합니다,Inflicts a Break Resistance decrease debuff with each successful skill hit.
enemy_skill_men_name,멘,Men
enemy_skill_men_desc,AP 감소 디버프를 부여합니다,Inflicts an AP decrease debuff.
enemy_skill_kote_name,코테,Kote
enemy_skill_kote_desc,힘 감소 디버프를 부여합니다,Inflicts a Strength decrease debuff.
enemy_skill_do_name,도,Do
enemy_skill_do_desc,속도 감소 디버프를 부여합니다,Inflicts a Speed decrease debuff.
enemy_skill_tsuki_name,츠키,Tsuki
enemy_skill_tsuki_desc,방어 감소 디버프를 부여합니다,Inflicts a Defense decrease debuff.
enemy_skill_sirius_name,시리우스,Sirius
enemy_skill_sirius_desc,큰 그로기 피해를 주며 스킬 피해의 일부가 방어 무시 고정 피해로 적용됩니다,Deals heavy groggy damage and converts part of skill damage into fixed damage that ignores defense.
enemy_skill_till_i_die_name,Till I Die,Till I Die
enemy_skill_till_i_die_desc,스킬 적중마다 브레이크 저항 감소 디버프를 부여합니다,Inflicts a Break Resistance decrease debuff with each successful skill hit.
enemy_skill_ambiguous_name,ambiguous,ambiguous
enemy_skill_ambiguous_desc,적중 시 AP와 속도 감소 디버프를 부여합니다,Inflicts AP and Speed decrease debuffs on hit.
enemy_skill_hymn_name,찬미가,Sanbika
enemy_skill_hymn_desc,적중 시 힘과 방어 감소 디버프를 부여합니다,Inflicts Strength and Defense decrease debuffs on hit.
enemy_skill_plazma_name,Plazma,Plazma
enemy_skill_plazma_desc,로봇 호출 3스택 보유 시 로봇에 탑승하며 1턴 동안 피해 감소 99%를 얻고 피해 증폭과 피해 감소 버프를 영구적으로 얻습니다,Mounts the robot when Robot Call reaches 3 stacks. Gains 99% damage reduction for 1 turn and permanently gains damage amplification and damage reduction buffs.
enemy_skill_i_dont_care_name,I don't care,I don't care
enemy_skill_i_dont_care_desc,피해를 입히고 로봇 호출 1스택을 획득합니다,Deals damage and gains 1 stack of Robot Call.
enemy_skill_midnight_reflection_name,Midnight Reflection,Midnight Reflection
enemy_skill_midnight_reflection_desc,속도 감소 디버프를 부여합니다,Inflicts a Speed decrease debuff.
enemy_skill_bloom_in_the_night_name,Bloom in the night,Bloom in the night
enemy_skill_bloom_in_the_night_desc,방어 감소 디버프를 부여합니다,Inflicts a Defense decrease debuff.
enemy_skill_halo_name,Halo,Halo
enemy_skill_halo_desc,다단 히트 피해를 입히고 적중한 타격마다 받는 피해 증가 디버프를 부여합니다,Deals multi hit damage and inflicts a Damage Taken increase debuff for each successful hit.
enemy_skill_raguelOverheat_name,과열 회복,Overheat Recover
enemy_skill_raguelOverheat_desc,과열 상태를 회복합니다,Recovers from Overheat
enemy_skill_beyond_the_time_name,BEYOND THE TIME,BEYOND THE TIME
