Key,Korean,English
menu_party_setup,편성,Party
menu_skill,스킬,Skills
btn_showtime,쇼타임,Showtime
btn_wait,잠깐,Wait
msg_select_destination,어디로 이동할까요?,Where would you like to go?
msg_facility_status,그 시설은 {0}이(가) 운영 중이고 시설 랭크는 {1}입니다.,That facility is run by {0} and its facility rank is {1}.
msg_facility_owned_by_baito,해당 시설은 바이토씨가 운영중이네요.,That facility is run by Baito.
msg_confirm_next_destination,다음 목표로 확정할까요?,Set this as your next target?
msg_strong_enemy_warning,강적입니다! 준비해주세요!,A powerful enemy awaits! Prepare yourself!
msg_enemy_warning,적입니다! 준비해주세요!,Enemy ahead! Prepare yourself!
menu_status,스테이터스,Status
menu_supporter,조력자,Supporter
menu_karin,카린,Karin
menu_equipment,장비,Equipment
label_level,레벨,Level
label_hp,체력,HP
label_break,브레이크,Break
label_break_resistance,저항,BR
label_ap,행동력,AP
label_strength,힘,Strength
label_defense,방어,Defense
label_speed,속도,Speed
label_luck,운,Luck
btn_join,합류,Join
btn_leave,이탈,Leave
btn_cancel,취소,Cancel
msg_no_active_supporter,합류한 조력자가 없습니다.,No supporter has joined.
btn_equip,장비하기,Equip
btn_remove,제거하기,Remove
msg_no_equipped_item,장비한 아이템이 없습니다.,No item is currently equipped.
msg_supporter_join_ready,전투에서 도움이 되고 싶어요.,I want to help in battle.
menu_class,클래스,Class
ui_select_synergy_prompt,확인할 시너지를 선택해 주세요.,Please select a synergy to view.
ui_select_skill_prompt,확인할 스킬을 선택해 주세요.,Please select a skill to view.
ui_status_activated,활성화됨,Activated
ui_status_deactivated,비활성화됨,Deactivated
passive_text,패시브 스킬,Passive Skill
initiation_text,개전 스킬,Initiation Skill
battleSkill_text,배틀 스킬,Battle Skill
msg_turn wait,턴을 기다리는 중입니다,Waiting for Turn
