Key,Korean,English
help_exploration_category,탐색,Exploration
help_exploration_body,각 페이즈는 보스 선택 시설 이용 일반 전투 보스 전투로 구성됩니다.\n\n보스 선택으로 현재 페이즈에서 상대할 일반 전투 대상과 보스가 결정됩니다.\n\n시설 이용으로 주인공을 강화할 수 있습니다.,Each phase consists of Boss Selection Facility Use Normal Battle and Boss Battle.\n\nBoss Selection determines the normal battle enemies and boss you will face in the current phase.\n\nFacility Use lets you strengthen the protagonist.
,,
help_status_category,스테이터스,Status
help_status_body,레벨이 성장하면 주인공의 스탯이 번갈아가며 성장합니다.\n\n체력은 주인공이 버틸 수 있는 피해량입니다.\n\n브레이크는 주인공이 버틸 수 있는 그로기 게이지 누적량입니다.\n\n저항이 높을수록 그로기 게이지가 적게 쌓입니다.\n\n행동력이 빠를수록 턴을 빠르게 가져옵니다.\n\n힘이 높을수록 스킬 피해가 커집니다.\n\n방어가 높을수록 받는 피해가 줄어듭니다.\n\n속도가 높을수록 명중률과 회피율이 높아집니다.\n\n운이 높을수록 치명타 발생 확률이 높아집니다.,When leveling up the protagonist's stats grow in alternating order.\n\nHP is the amount of damage the protagonist can withstand.\n\nBreak is the amount of groggy gauge buildup the protagonist can withstand.\n\nThe higher Resistance is the less groggy gauge builds up.\n\nThe higher AP is the faster turns are taken.\n\nThe higher Strength is the greater skill damage becomes.\n\nThe higher Defense is the less damage is taken.\n\nThe higher Speed is the higher Hit Rate and Evasion become.\n\nThe higher Luck is the higher Critical Rate becomes.
,,
help_supporter_category,조력자,Supporters
help_supporter_body,보스를 처치하면 조력자를 영입할 수 있습니다.\n\n조력자를 영입하지 않으면 인간 강도 시너지가 상승합니다.\n\n조력자의 스킬은 최대 3레벨까지 강화할 수 있습니다.\n\n조력자의 패시브 스킬은 합류 여부와 무관하게 발동됩니다.\n\n조력자의 개전 스킬은 전투 시작과 동시에 1회 발동합니다.\n\n조력자의 배틀 스킬은 조력자가 행동할 때마다 발동합니다.\n\n조력자의 행동력은 주인공의 행동력에 비례합니다.,You can recruit supporters by defeating bosses.\n\nIf you do not recruit a supporter the Human Strength synergy increases.\n\nSupporter skills can be enhanced up to Level 3.\n\nA supporter's Passive Skill activates regardless of whether they are currently accompanying you.\n\nA supporter's Start Skill activates once when battle begins.\n\nA supporter's Battle Skill activates whenever the supporter takes action.\n\nA supporter's AP is based on the protagonist's AP.
,,
help_karin_equipment_category,카린 장비,Karin Equipment
