Key,Korean,English
menu_main_start,새 게임,New Game
menu_main_continue,이어하기,Continue
menu_main_options,설정,Options
menu_main_help,도움말,Help
menu_main_credits,제작진,Credits
menu_main_quit,종료하기,Quit
menu_main_title,메인화면,Main Menu
btn_back,돌아가기,Return
menu_opt_sound,음악,Music
menu_opt_language,언어,Language
menu_opt_battle_speed,전투 2배속,Battle Speed 2X
msg_confirm_main_menu,정말 메인화면으로 돌아가시겠습니까?,Are you sure you want to return to the main menu?
btn_yes,예,Yes
btn_no,아니요,No
btn_restart_battle,전투 재시작,Restart Battle
menu_sfx,효과음,Sound Effect
menu_master,소리,Sound
menu_use,사용,Use
menu_start,시작,Start
btn_delete,삭제,Delete
msg_delete_data,삭제된 기록은 복구할 수 없습니다. 정말 삭제하시겠습니까?,Deleted data cannot be restored. Are you sure you want to proceed?
menu_infinite_battle,무한 전투,Infinite Battle
btn_analyze,분석,Analyze
,,
ui_credits_text,Director: Neat3\nMain Programmer: Neat3\nGame Engine: Unity\nVisual Synthesis & Tools: GPT-Image-2 / Nano Banana 2\nAudio Generation: Suno AI\nFonts: A2Z\nSound & SFX Credits: Dragon Studio / Universfield\n더 많은 정보와 업데이트를 기대해 주세요!\nYouTube: Neat3Develop\nitch.io: neat3.itch.io/devils-cut\nGitHub: albertk0305/DevilsCut\nEmail: neat3booze@gmail.com\n게임을 재미있게 즐기셨다면 리뷰와 피드백을 남겨 주세요!\n좋았던 점이나 아쉬웠던 점에 대한 피드백과 버그 제보는 큰 도움이 됩니다.\nNeat3 Project No.0\nv.1.0.0,Director: Neat3\nMain Programmer: Neat3\nGame Engine: Unity\nVisual Synthesis & Tools: GPT-Image-2 / Nano Banana 2\nAudio Generation: Suno AI\nFonts: A2Z\nSound & SFX Credits: Dragon Studio / Universfield\nStay tuned for more information and updates!\nYouTube: Neat3Develop\nitch.io: neat3.itch.io/devils-cut\nGitHub: albertk0305/DevilsCut\nEmail: neat3booze@gmail.com\nIf you enjoyed the game please leave a review and feedback!\nAny feedback on what you liked or disliked as well as bug reports would be greatly appreciated.\nNeat3 Project No.0\nv.1.0.0
