Key,Korean,English
sk_001_name,담력,Grit
sk_001_desc,적에게 피해를 주고 가드 상태에 돌입합니다. 가드 상태에서는 적에게 피격당했을 때 받는 피해가 감소합니다.,"Deals damage to an enemy and enters the Guard state. While in the Guard state, damage taken from enemy attacks is reduced."
sk_001_evo_a_name,인과율,Causality
sk_001_evo_a_desc,"가드 상태에서 적의 공격을 받을 시, 가드로 감소시킨 피해량의 일정량을 적에게 되돌려줍니다.","When attacked while in the Guard state, reflects a portion of the damage mitigated by Guard back to the attacker."
sk_001_evo_b_name,고드 핸드,God Hand
sk_001_evo_b_desc,"가드 상태가 강화되어, 방어력 무시 고정 피해에도 피해 감소가 적용됩니다.","Strengthens the Guard state, allowing the damage reduction to apply even to defense-ignoring True Damage."
sk_001_evo_c_name,제물의 낙인,Brand of Sacrifice
sk_001_evo_c_desc,"더 이상 가드 상태를 획득하지 않는 대신, 힘과 방어력에 비례한 강력한 피해를 줍니다.","No longer gains the Guard state. Instead, deals powerful damage proportional to Strength and Defense."
sk_002_name,타나토스,Thanatos
sk_002_desc,"적을 타격하여 큰 브레이크 피해를 주고, 방어력 감소 디버프를 부여합니다.",Strikes an enemy to deal massive Break damage and inflicts a Defense reduction debuff.
sk_002_evo_a_name,Color Your Night,Color Your Night
sk_002_evo_a_desc,적에게 감소시킨 방어력만큼 플레이어의 방어력을 상승시킵니다.,Increases the player's Defense by the amount of Defense reduced from the enemy.
sk_002_evo_b_name,Burn My Dread,Burn My Dread
sk_002_evo_b_desc,"스킬의 기본 피해 계수가 감소하는 대신, 적의 누적된 브레이크 수치에 비례하여 스킬 피해량이 상승합니다.","Decreases the skill's base damage coefficient, but increases skill damage proportional to the enemy's accumulated Break value."
sk_002_evo_c_name,Full Moon Full Life,Full Moon Full Life
sk_002_evo_c_desc,8타 다단 히트 스킬로 변경됩니다. 방어력 감소 디버프는 한 번만 적용되며 중첩되지 않습니다.,Changes the skill into an 8-hit multi-strike attack. The Defense reduction debuff applies only once and does not stack.
sk_003_name,악귀멸살,Evil Slayer
sk_003_desc,적에게 큰 피해를 줍니다. 피해량의 일정 비율이 방어력 무시 고정 피해로 적용됩니다.,Deals massive damage to an enemy. A certain percentage of the damage is applied as defense-ignoring True Damage.
sk_003_evo_a_name,내비치는 세계,Transparent World
sk_003_evo_a_desc,적의 현재 체력이 최대 체력의 70% 이상일 때 추가 피해를 줍니다.,Deals additional damage when the enemy's current HP is 70% or higher of their maximum HP.
sk_003_evo_b_name,오니가 되어라,Become a Demon
sk_003_evo_b_desc,적에게 입힌 피해량의 일정 비율만큼 체력을 회복합니다.,Heals HP by a certain percentage of the damage dealt to the enemy.
sk_003_evo_c_name,빈틈의 실,Thread of Interval
sk_003_evo_c_desc,적에게 걸려 있는 디버프의 개수에 비례하여 스킬 피해량이 증가합니다.,Increases skill damage proportional to the number of debuffs inflicted on the enemy.
sk_004_name,약속된 승리의 검,Excalibur
sk_004_desc,적에게 큰 피해를 주며 스킬 피해량의 일정 비율을 방어력 무시 고정 피해로 입힙니다,Deals massive damage to an enemy and inflicts a certain percentage of the skill damage as defense-ignoring True Damage
sk_004_evo_a_name,인비저블 에어,Invisible Air
sk_004_evo_a_desc,이 스킬이 적에게 반드시 적중합니다,This skill is guaranteed to hit the enemy
sk_004_evo_b_name,아발론,Avalon
sk_004_evo_b_desc,스킬 사용 후 3턴 동안 턴마다 최대 체력의 30%씩 회복하는 버프를 획득합니다,After using the skill gains a buff that restores 30% of maximum HP every turn for 3 turns
sk_004_evo_c_name,모르간,Morgan
sk_004_evo_c_desc,방어력 무시 고정 피해 효과가 삭제되는 대신 적에게 3턴 동안 받는 피해가 증가하는 디버프를 부여합니다,The defense-ignoring True Damage effect is removed but inflicts a debuff that increases damage taken for 3 turns
sk_005_name,데몬 암,Demon Arm
sk_005_desc,적에게 피해를 줍니다 이 스킬은 치명타가 발생할 확률이 높습니다,Deals damage to an enemy This skill has a high Critical Hit chance
sk_005_evo_a_name,성자의 행진,Come the Light
sk_005_evo_a_desc,이 스킬의 치명타 피해량이 상승합니다,Increases the Critical Hit damage of this skill
sk_005_evo_b_name,별 부스러기,Stars
sk_005_evo_b_desc,이 스킬의 치명타 확률이 100%를 초과할 경우 초과한 수치에 비례하여 스킬 피해량이 상승합니다,If the Critical Hit chance of this skill exceeds 100% the skill damage increases proportional to the excess value
sk_005_evo_c_name,러시안 룰렛,Russian Roulette
sk_005_evo_c_desc,6타 다단 히트 스킬로 변경됩니다 단 무작위 한 발은 반드시 빗나가며 불발탄 이후의 타격은 전부 빗나갑니다,Changes into a 6-hit multi-strike skill However one random shot is guaranteed to miss and all subsequent strikes after the misfire will also miss
sk_006_name,무한의 마탄,Infinite Magic Bullet
sk_006_desc,적에게 큰 브레이크 피해를 주는 다단 히트 스킬입니다,A multi-strike skill that deals massive Break damage to an enemy
sk_006_evo_a_name,티로 듀엣,Tiro Duet
sk_006_evo_a_desc,다단 히트 타격이 적중할 때마다 연속 적중 횟수에 비례하여 치명타 확률과 피해량이 상승합니다,Each time a multi-strike hit lands Critical Hit chance and damage increase proportional to the consecutive hit count
sk_006_evo_b_name,마기아,Magia
sk_006_evo_b_desc,적에게 속도 감소 디버프를 3턴 동안 부여합니다,Inflicts a Speed reduction debuff on the enemy for 3 turns
sk_006_evo_c_name,티로 피날레,Tiro Finale
sk_006_evo_c_desc,단일 히트 스킬로 변경되며 적의 방어력을 일부 무시하는 다단 히트가 압축된 강력한 한 방을 날립니다,Changes into a single-hit skill that unleashes a powerful compressed strike incorporating multi-hit properties that partially ignore enemy Defense
sk_007_name,판타스틱 드리머,Fantastic Dreamer
sk_007_desc,운에 기반하여 무작위로 피해량이 결정됩니다 피해량 계수는 5단계가 존재하며 운 수치가 높을수록 높은 피해량이 발생할 확률이 높아집니다,Deals random damage based on Luck There are 5 tiers of damage coefficients and a higher Luck stat increases the chance of triggering higher damage
sk_007_evo_a_name,최강급 행운,Ultimate Luck
sk_007_evo_a_desc,가장 낮은 1단계 계수가 발생할 경우 3단계 계수로 보정합니다,If the lowest Tier 1 coefficient triggers it is adjusted up to the Tier 3 coefficient
sk_007_evo_b_name,익스플로전,Explosion
sk_007_evo_b_desc,6단계 피해량 계수가 추가되며 운 수치가 높을수록 6단계 계수가 발생할 확률이 높아집니다,Adds a Tier 6 damage coefficient and a higher Luck stat increases the chance of triggering the Tier 6 coefficient
sk_007_evo_c_name,스틸,Steal
