Key,Korean,English
arete,A.R.E.T.E.,A.R.E.T.E.
Caritas,카리타스,Caritas
Castus,카스투스,Castus
Cynd,신드,Cynd
Diligere,딜리게레,Diligere
gabriel,가브리엘,Gabriel
hibiki,히비키,Hibiki
humus,후무스,Humus
Integrity,인테그리티,Integrity
michael,미카엘,Michael
Pati,파티,Pati
raguel,라구엘,Raguel
raphael,라파엘,Raphael
remiel,레미엘,Remiel
sariel,사리엘,Sariel
Silere,실레레,Silere
Temperare,템퍼라레,Temperare
uriel,우리엘,Uriel
sherry,셰리,Sherry
karin,카린,Karin
baito,바이토,Baito
asmodeus,아스모데우스,Asmodeus
baalzebub,바알제붑,Baalzebub
belphegor,벨페고르,Belphegor
leviathan,레비아탄,Leviathan
lucifer,루시퍼,Lucifer
mammon,마몬,Mammon
satan,사탄,Satan
,,
support_asmodeus_select,주인님의 요청이라면 아스모는 언제든지 준비 완료라구요!,If it is your request Master then Asmo is always ready!
support_asmodeus_join,맡겨주세요! 아스모가 반하게 만들어드릴게요!,Leave it to me! Asmo will make them fall head over heels!
,,
support_baalzebub_select,오냐! 필요하면 언제든 달려가 주마!,Alright! Call me whenever you need me!
support_baalzebub_join,맡겨둬! 화끈하게 볶아주마!,Leave it to me! I will stir fry them nice and hot!
,,
support_belphegor_select,하아암... 오늘은 잭팟이나 터지면 좋겠네...,Yaaawn... Maybe today will be the day we hit the jackpot...
support_belphegor_join,행운의 여신이 너랑 함께할 거야... 아마도... 음냐...,Lady Luck will be with you... probably... mnya...
,,
support_leviathan_select,셰리 님의 부름이라면 레비아탄은 언제든 응답하겠습니다...,If Lady Sherry calls then Leviathan will answer anytime...
support_leviathan_join,레비아탄은 셰리 님과 함께할 수 있어서 행복합니다... 아주 많이요.,Leviathan is happy to be with Lady Sherry... very happy.
,,
support_lucifer_select,저... 정말 저로 괜찮으신가요...?,Um... Are you really sure I am okay...?
support_lucifer_join,히... 힘내보겠습니다!,I-I will do my best!
,,
support_mammon_select,"카캇! 내 몸값은 꽤 비싸다구요, 고객님?","Kakak! My price is pretty high, dear customer."
support_mammon_join,V.I.P.의 부탁이니 이번만 특별 서비스예요!,"Since it is a V.I.P. request, this one is a special service!"
,,
support_satan_select,"셰리 부르면 나, 바로 간다!","If Sherry calls, I come running!"
support_satan_join,"셰리 옆, 내 자리다!","By Sherry's side, that is my place!"
,,
supporter_passive_fluffy_time,푹신푹신 타임: 전투 종료마다 (10%/15%/25%) 확률로 체력 브레이크 최대치 브레이크 저항 행동력 중 하나의 스탯이 영구적으로 (1/2/3)만큼 상승합니다. 체력은 (91/182/273)만큼 상승합니다,Fuwa Fuwa Time: At the end of each battle there is a (10%/15%/25%) chance to permanently increase one stat from HP Max Break Break Resistance or AP by (1/2/3). HP increases by (91/182/273).
supporter_start_met_an_angel,천사를 만났어: 적의 힘을 (10%/15%/20%)만큼 3턴간 감소시키고 셰리의 스타일 랭크를 한 단계 상승시킵니다,Tenshi ni Fureta yo!: Decreases enemy Strength by (10%/15%/20%) for 3 turns and raises Sherry's Style Rank by 1 level.
supporter_battle_pure_pure_heart,퓨어퓨어하트: 셰리의 체력을 20% 회복시키고 모든 디버프를 해제합니다. 힘 방어 속도 운이 3턴간 20% 상승합니다,Pure Pure Heart: Restores 20% of Sherry's HP and removes all debuffs. Strength Defense Speed and Luck increase by 20% for 3 turns.
,,
supporter_passive_shiny_days,Shiny Days: 전투 종료마다 최대 체력의 (5%/10%/20%)만큼 회복합니다,Shiny Days: At the end of each battle recover (5%/10%/20%) of Max HP.
supporter_start_apron_boy,에이프런 보이: 적에게 3턴간 화상 디버프를 부여하고 방어를 (7%/10%/15%)만큼 감소시킵니다. 화상 상태인 적은 턴마다 최대 체력의 (2%/3%/5%)만큼 피해를 입습니다,Apron Boy: Inflicts Burn on the enemy for 3 turns and decreases Defense by (7%/10%/15%). A burned enemy takes damage equal to (2%/3%/5%) of Max HP each turn.
supporter_battle_collage,콜라주: 6타 다단 히트 피해를 입힙니다. 각 타격마다 (20%/30%/40%) 확률로 출혈 디버프를 부여합니다. 스킬 피해는 적이 보유 중인 디버프 개수에 비례하여 증가합니다. 출혈 상태인 적은 턴마다 셰리 힘의 (80%/100%/120%)만큼 피해를 입습니다,Collage: Deals 6 hit multi hit damage. Each hit has a (20%/30%/40%) chance to inflict Bleed. Skill damage increases based on the number of debuffs on the enemy. A bleeding enemy takes damage equal to (80%/100%/120%) of Sherry's Strength each turn.
,,
supporter_passive_there_is_a_reason,There is a Reason: 전투 종료마다 아이템 리롤을 실행할 때 (10%/20%/35%) 확률로 아이템의 등급이 한 단계 상승합니다,There Is a Reason: When rerolling items at the end of battle there is a (10%/20%/35%) chance to increase an item's grade by 1 level.
supporter_start_this_game,This Game: 적에게 힘 방어 속도 운 중 두 개의 스탯을 무작위로 (5%~30%/10%~50%/20%~80%)만큼 3턴간 감소시킵니다,This Game: Randomly decreases 2 stats from enemy Strength Defense Speed or Luck by (5%~30%/10%~50%/20%~80%) for 3 turns.
