lineID	speakerID	leftActorID	rightActorID	leftExpressionID	rightExpressionID	speakerNameKey	bodyTextKey	lineEndAction	lineEndActionValue	backgroundID	storyImageID	choiceID	clearBackground	showStoryImage	hasChoice	yesTextKey	noTextKey	yesAction	noAction	yesActionValue	noActionValue	yesNextLineID	noNextLineID	noNextLineID
prologue_b_001							prologue_b_001	None		AreteRoom			FALSE	FALSE	FALSE									
prologue_b_002	karin	karin		suspicious		name_karin	prologue_b_002	None					FALSE	FALSE	FALSE									
prologue_b_003	arete	karin	arete	suspicious	neutral	name_arete	prologue_b_003	None					FALSE	FALSE	FALSE									
prologue_b_004	karin	karin	arete	serious	neutral	name_karin	prologue_b_004	None					FALSE	FALSE	FALSE									
prologue_b_005	arete	karin	arete	serious	neutral	name_arete	prologue_b_005	None					FALSE	FALSE	FALSE									
prologue_b_006	karin	karin	arete	confront	neutral	name_karin	prologue_b_006	None					FALSE	FALSE	FALSE									
prologue_b_007	arete	karin	arete	confront	neutral	name_arete	prologue_b_007	None					FALSE	FALSE	FALSE									
prologue_b_008	karin	karin	arete	suspicious	neutral	name_karin	prologue_b_008	None					FALSE	FALSE	FALSE									
prologue_b_009	arete	karin	arete	suspicious	neutral	name_arete	prologue_b_009	None					FALSE	FALSE	FALSE									
prologue_b_010	karin	karin	arete	serious	neutral	name_karin	prologue_b_010	None					FALSE	FALSE	FALSE									
prologue_b_011	karin	karin	arete	serious	neutral	name_karin	prologue_b_011	None					FALSE	FALSE	FALSE									
prologue_b_012	arete	karin	arete	serious	neutral	name_arete	prologue_b_012	None					FALSE	FALSE	FALSE									
prologue_b_013	karin	karin	arete	suspicious	neutral	name_karin	prologue_b_013	None					FALSE	FALSE	FALSE									
prologue_b_014	arete	karin	arete	suspicious	neutral	name_arete	prologue_b_014	None					FALSE	FALSE	FALSE									
prologue_b_015	karin	karin	arete	confront	neutral	name_karin	prologue_b_015	None					FALSE	FALSE	FALSE									
prologue_b_016	arete	karin	arete	confront	neutral	name_arete	prologue_b_016	None					FALSE	FALSE	FALSE									
prologue_b_017	arete	karin	arete	confront	neutral	name_arete	prologue_b_017	None					FALSE	FALSE	FALSE									
prologue_b_018	arete	karin	arete	confront	neutral	name_arete	prologue_b_018	None					FALSE	FALSE	FALSE									
prologue_b_019	karin	karin	arete	serious	neutral	name_karin	prologue_b_019	None					FALSE	FALSE	FALSE									
prologue_b_020	arete	karin	arete	serious	neutral	name_arete	prologue_b_020	None					FALSE	FALSE	FALSE									
prologue_b_021	karin	karin	arete	speechless	neutral	name_karin	prologue_b_021	None					FALSE	FALSE	FALSE									
prologue_b_022	arete	karin	arete	speechless	neutral	name_arete	prologue_b_022	None					FALSE	FALSE	FALSE									
prologue_b_023	karin	karin	arete	confront	neutral	name_karin	prologue_b_023	None					FALSE	FALSE	FALSE									
prologue_b_024	arete	karin	arete	confront	neutral	name_arete	prologue_b_024	None					FALSE	FALSE	FALSE									
prologue_b_025	karin	karin	arete	serious	neutral	name_karin	prologue_b_025	None					FALSE	FALSE	FALSE									
prologue_b_026	arete	karin	arete	serious	neutral	name_arete	prologue_b_026	None					FALSE	FALSE	FALSE									
prologue_b_027	karin	karin	arete	speechless	neutral	name_karin	prologue_b_027	None					FALSE	FALSE	FALSE									
prologue_b_028	arete	karin	arete	speechless	neutral	name_arete	prologue_b_028	None					FALSE	FALSE	FALSE									
prologue_b_029	karin	karin	arete	speechless	neutral	name_karin	prologue_b_029	None					FALSE	FALSE	FALSE									
prologue_b_030	karin	karin	arete	serious	neutral	name_karin	prologue_b_030	None					FALSE	FALSE	FALSE									
prologue_b_031							prologue_b_031	None			Key		FALSE	TRUE	FALSE									
prologue_b_032	karin	karin	arete	serious	neutral	name_karin	prologue_b_032	None					FALSE	FALSE	FALSE									
prologue_b_033	arete	karin	arete	serious	neutral	name_arete	prologue_b_033	None					FALSE	FALSE	FALSE									
prologue_b_034	arete	karin	arete	serious	neutral	name_arete	prologue_b_034	None					FALSE	FALSE	FALSE									
prologue_b_035	hibiki	karin	hibiki	serious	neutral	name_hibiki	prologue_b_035	None					FALSE	FALSE	FALSE									
prologue_b_036	karin	karin	hibiki	suspicious	neutral	name_karin	prologue_b_036	None					FALSE	FALSE	FALSE									
prologue_b_037	hibiki	karin	hibiki	suspicious	neutral	name_hibiki	prologue_b_037	None					FALSE	FALSE	FALSE									
prologue_b_038	karin	karin	hibiki	confront	neutral	name_karin	prologue_b_038	None					FALSE	FALSE	FALSE									
prologue_b_039	hibiki	karin	hibiki	confront	neutral	name_hibiki	prologue_b_039	None					FALSE	FALSE	FALSE									
prologue_b_040	karin	karin	hibiki	serious	neutral	name_karin	prologue_b_040	None					FALSE	FALSE	FALSE									
prologue_b_041	hibiki	karin	hibiki	serious	neutral	name_hibiki	prologue_b_041	None					FALSE	FALSE	FALSE									
prologue_b_042	hibiki	karin	hibiki	serious	neutral	name_hibiki	prologue_b_042	None					FALSE	FALSE	FALSE									
prologue_b_043	hibiki	karin	hibiki	serious	neutral	name_hibiki	prologue_b_043	None					FALSE	FALSE	FALSE									
prologue_b_044	arete	karin	arete	serious	neutral	name_arete	prologue_b_044	None					FALSE	FALSE	FALSE									
prologue_b_045	hibiki	hibiki	arete	serious	neutral	name_hibiki	prologue_b_045	None					FALSE	FALSE	FALSE									
prologue_b_046	arete	hibiki	arete	serious	neutral	name_arete	prologue_b_046	None					FALSE	FALSE	FALSE									
prologue_b_047	hibiki	hibiki	arete	serious	neutral	name_hibiki	prologue_b_047	None					FALSE	FALSE	FALSE									
prologue_b_048	karin	karin	hibiki	desperate	neutral	name_karin	prologue_b_048	None					FALSE	FALSE	FALSE									
prologue_b_049							prologue_b_049	None					FALSE	FALSE	FALSE									
