lineID	speakerID	leftActorID	rightActorID	leftExpressionID	rightExpressionID	speakerNameKey	bodyTextKey	lineEndAction	lineEndActionValue	backgroundID	storyImageID	choiceID	clearBackground	showStoryImage	hasChoice	yesTextKey	noTextKey	yesAction	noAction	yesActionValue	noActionValue	yesNextLineID	noNextLineID
prologue_c_001							prologue_c_001	None		NightStreet			FALSE	FALSE	FALSE								
prologue_c_002	karin	karin		tired		name_karin	prologue_c_002	None					FALSE	FALSE	FALSE								
prologue_c_003	patrol_robot	karin	patrol_robot	tired	normal	name_patrol_robot	prologue_c_003	None					FALSE	FALSE	FALSE								
prologue_c_004	karin	karin	patrol_robot	panic	normal	name_karin	prologue_c_004	None					FALSE	FALSE	FALSE								
prologue_c_005	patrol_robot	karin	patrol_robot	panic	normal	name_patrol_robot	prologue_c_005	None					FALSE	FALSE	FALSE								
prologue_c_006							prologue_c_006	None					FALSE	FALSE	FALSE								
prologue_c_007	sherry	karin	sherry	panic	annoyed	name_sherry	prologue_c_007	None					FALSE	FALSE	FALSE								
prologue_c_008	karin	karin	sherry	suspicious	annoyed	name_karin	prologue_c_008	None					FALSE	FALSE	FALSE								
prologue_c_009	sherry	karin	sherry	suspicious	annoyed	name_sherry	prologue_c_009	None					FALSE	FALSE	FALSE								
prologue_c_010	patrol_robot	patrol_robot	sherry	normal	annoyed	name_patrol_robot	prologue_c_010	None					FALSE	FALSE	FALSE								
prologue_c_011	sherry	patrol_robot	sherry	normal	mock	name_sherry	prologue_c_011	None					FALSE	FALSE	FALSE								
prologue_c_012	sherry	patrol_robot	sherry	normal	mock	name_sherry	prologue_c_012	None					FALSE	FALSE	FALSE								
prologue_c_013	patrol_robot	patrol_robot	sherry	normal	mock	name_patrol_robot	prologue_c_013	None					FALSE	FALSE	FALSE								
prologue_c_014			sherry	normal	smirk		prologue_c_014	None					FALSE	FALSE	FALSE								
prologue_c_015	sherry	patrol_robot	sherry	normal	smirk	name_sherry	prologue_c_015	None					FALSE	FALSE	FALSE								
prologue_c_016			sherry	normal	smirk		prologue_c_016	None					FALSE	FALSE	FALSE								
prologue_c_017	patrol_robot	patrol_robot	sherry	normal	smirk	name_patrol_robot	prologue_c_017	None					FALSE	FALSE	FALSE								
prologue_c_018			sherry	normal	smirk		prologue_c_018	None					FALSE	FALSE	FALSE								
prologue_c_019	karin	karin	sherry	amazed	smirk	name_karin	prologue_c_019	None					FALSE	FALSE	FALSE								
