lineID	speakerID	leftActorID	rightActorID	leftExpressionID	rightExpressionID	speakerNameKey	bodyTextKey	lineEndAction	lineEndActionValue	backgroundID	storyImageID	choiceID	clearBackground	showStoryImage	hasChoice	yesTextKey	noTextKey	yesAction	noAction	yesActionValue	noActionValue	yesNextLineID	noNextLineID
arete_final_pre_001	narration	sherry	arete	serious	new	speaker_narration	arete_final_pre_001_body			AreteFinal			FALSE	FALSE	FALSE								
arete_final_pre_002	sherry	sherry	arete	smug	new	speaker_sherry	arete_final_pre_002_body						FALSE	FALSE	FALSE								
arete_final_pre_003	sherry	sherry	arete	mock	new	speaker_sherry	arete_final_pre_003_body						FALSE	FALSE	FALSE								
arete_final_pre_004	arete	sherry	arete	mock	new	speaker_arete	arete_final_pre_004_body						FALSE	FALSE	FALSE								
arete_final_pre_005	arete	sherry	arete	mock	new	speaker_arete	arete_final_pre_005_body						FALSE	FALSE	FALSE								
arete_final_pre_006	sherry	sherry	arete	greasy	new	speaker_sherry	arete_final_pre_006_body						FALSE	FALSE	FALSE								
arete_final_pre_007	arete	sherry	arete	greasy	new	speaker_arete	arete_final_pre_007_body						FALSE	FALSE	FALSE								
arete_final_pre_008	karin	karin	arete	seriousSpeak	new	speaker_karin	arete_final_pre_008_body						FALSE	FALSE	FALSE								
arete_final_pre_009	arete	karin	arete	seriousSpeak	new	speaker_arete	arete_final_pre_009_body						FALSE	FALSE	FALSE								
arete_final_pre_010	arete	karin	arete	seriousSpeak	new	speaker_arete	arete_final_pre_010_body						FALSE	FALSE	FALSE								
arete_final_pre_011	arete	karin	arete	seriousSpeak	new	speaker_arete	arete_final_pre_011_body						FALSE	FALSE	FALSE								
arete_final_pre_012	arete	karin	arete	seriousSpeak	new	speaker_arete	arete_final_pre_012_body						FALSE	FALSE	FALSE								
arete_final_pre_013	karin	karin	arete	confidentSmile	new	speaker_karin	arete_final_pre_013_body						FALSE	FALSE	FALSE								
arete_final_pre_014	karin	karin	arete	confidentSpeak	new	speaker_karin	arete_final_pre_014_body						FALSE	FALSE	FALSE								
arete_final_pre_015	karin	karin	arete	confidentSpeak	new	speaker_karin	arete_final_pre_015_body						FALSE	FALSE	FALSE								
arete_final_pre_016	karin	karin	arete	confidentHappy	new	speaker_karin	arete_final_pre_016_body						FALSE	FALSE	FALSE								
arete_final_pre_017	karin	karin	arete	confidentSmile	new	speaker_karin	arete_final_pre_017_body						FALSE	FALSE	FALSE								
arete_final_pre_018	karin	karin	arete	confidentSpeak	new	speaker_karin	arete_final_pre_018_body						FALSE	FALSE	FALSE								
arete_final_pre_019	arete	karin	arete	confidentSpeak	new	speaker_arete	arete_final_pre_019_body						FALSE	FALSE	FALSE								
arete_final_pre_020	arete	karin	arete	confidentSpeak	new	speaker_arete	arete_final_pre_020_body						FALSE	FALSE	FALSE								
arete_final_pre_021	sherry	sherry	arete	smile	new	speaker_sherry	arete_final_pre_021_body						FALSE	FALSE	FALSE								
arete_final_pre_022	karin	karin	arete	confidentSmile	new	speaker_karin	arete_final_pre_022_body						FALSE	FALSE	FALSE								
arete_final_pre_023	karin	karin	arete	confidentSpeak	new	speaker_karin	arete_final_pre_023_body						FALSE	FALSE	FALSE								
arete_final_pre_024	karin	karin	arete	confidentHappy	new	speaker_karin	arete_final_pre_024_body						FALSE	FALSE	FALSE								
arete_final_pre_025	karin	karin	arete	seriousSpeak	new	speaker_karin	arete_final_pre_025_body						FALSE	FALSE	FALSE								
arete_final_pre_026	karin	karin	arete	awaken	new	speaker_karin	arete_final_pre_026_body	LoadNextScene					FALSE	FALSE	FALSE								
