lineID	speakerID	leftActorID	rightActorID	leftExpressionID	rightExpressionID	speakerNameKey	bodyTextKey	lineEndAction	lineEndActionValue	backgroundID	storyImageID	choiceID	clearBackground	showStoryImage	hasChoice	yesTextKey	noTextKey	yesAction	noAction	yesActionValue	noActionValue	yesNextLineID	noNextLineID
lucifer_affinity_02_001	karin	sherry	karin	easy	smile	speaker_karin	lucifer_affinity_02_001_body			Bar			FALSE	FALSE	FALSE								
lucifer_affinity_02_002	sherry	sherry	karin	easy	smile	speaker_sherry	lucifer_affinity_02_002_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_003	karin	sherry	karin	easy	curious	speaker_karin	lucifer_affinity_02_003_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_004	sherry	sherry	karin	smile	curious	speaker_sherry	lucifer_affinity_02_004_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_005	karin	sherry	karin	smile	curious	speaker_karin	lucifer_affinity_02_005_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_006	sherry	sherry	karin	perplexed	curious	speaker_sherry	lucifer_affinity_02_006_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_007	lucifer	sherry	lucifer	perplexed	nerutral	speaker_lucifer	lucifer_affinity_02_007_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_008	lucifer	sherry	lucifer	perplexed	nerutral	speaker_lucifer	lucifer_affinity_02_008_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_009	karin	karin	lucifer	amazed	nerutral	speaker_karin	lucifer_affinity_02_009_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_010	lucifer	karin	lucifer	amazed	happy	speaker_lucifer	lucifer_affinity_02_010_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_011	sherry	sherry	lucifer	smile	happy	speaker_sherry	lucifer_affinity_02_011_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_012	lucifer	sherry	lucifer	smile	embarrassed	speaker_lucifer	lucifer_affinity_02_012_body						FALSE	FALSE	FALSE								
lucifer_affinity_02_013	narration					speaker_narration	lucifer_affinity_02_013_body	UpgradePendingFacilityRank					FALSE	FALSE	FALSE								
